iter	Passed	Remaining
0	35	35176
1	61	30916
2	92	30782
3	125	31230
4	155	30987
5	184	30551
6	213	30275
7	245	30399
8	274	30187
9	303	30090
10	340	30636
11	372	30652
12	404	30730
13	433	30556
14	465	30561
15	498	30684
16	528	30574
17	557	30401
18	585	30221
19	616	30201
20	649	30296
21	681	30291
22	711	30217
23	740	30118
24	769	30016
25	798	29901
26	830	29914
27	861	29893
28	892	29893
29	921	29806
30	950	29697
31	981	29683
32	1009	29568
33	1038	29493
34	1067	29425
35	1097	29381
36	1126	29313
37	1155	29258
38	1185	29218
39	1213	29118
40	1242	29056
41	1270	28989
42	1299	28918
43	1327	28850
44	1358	28821
45	1388	28795
46	1417	28736
47	1446	28693
48	1476	28665
49	1505	28610
50	1533	28542
51	1561	28469
52	1591	28432
53	1624	28464
54	1657	28481
55	1687	28451
56	1716	28392
57	1743	28320
58	1772	28266
59	1801	28227
60	1828	28148
61	1857	28100
62	1885	28038
63	1913	27980
64	1941	27921
65	1969	27867
66	1997	27815
67	2029	27813
68	2057	27757
69	2087	27738
70	2116	27691
71	2144	27638
72	2172	27582
73	2201	27549
74	2230	27509
75	2258	27460
76	2286	27409
77	2314	27363
78	2344	27326
79	2375	27320
80	2404	27280
81	2433	27242
82	2462	27200
83	2492	27175
84	2522	27157
85	2553	27140
86	2585	27134
87	2621	27163
88	2657	27203
89	2687	27177
90	2717	27141
91	2745	27094
92	2772	27039
93	2801	27001
94	2829	26950
95	2858	26913
96	2887	26879
97	2915	26832
98	2942	26782
99	2973	26762
100	3000	26711
101	3030	26682
102	3060	26655
103	3089	26613
104	3117	26576
105	3145	26525
106	3175	26498
107	3205	26472
108	3235	26449
109	3265	26418
110	3294	26388
111	3324	26358
112	3354	26334
113	3385	26312
114	3414	26274
115	3443	26238
116	3472	26206
117	3503	26186
118	3531	26143
119	3562	26124
120	3593	26106
121	3625	26090
122	3658	26082
123	3690	26071
124	3719	26034
125	3747	25994
126	3778	25975
127	3808	25946
128	3836	25906
129	3865	25866
130	3897	25855
131	3924	25807
132	3954	25775
133	3981	25734
134	4009	25689
135	4037	25647
136	4066	25613
137	4096	25588
138	4126	25560
139	4154	25520
140	4182	25479
141	4211	25448
142	4241	25417
143	4269	25377
144	4300	25357
145	4329	25323
146	4358	25289
147	4388	25264
148	4416	25226
149	4444	25185
150	4474	25156
151	4503	25122
152	4531	25084
153	4559	25046
154	4587	25007
155	4619	24990
156	4652	24981
157	4681	24947
158	4709	24908
159	4737	24872
160	4766	24840
161	4795	24803
162	4824	24772
163	4853	24742
164	4882	24709
165	4914	24690
166	4947	24680
167	4977	24650
168	5007	24625
169	5037	24594
170	5066	24560
171	5095	24528
172	5126	24505
173	5155	24475
174	5185	24445
175	5215	24416
176	5244	24387
177	5274	24356
178	5302	24320
179	5331	24286
180	5360	24253
181	5388	24219
182	5417	24187
183	5447	24157
184	5475	24120
185	5503	24084
186	5531	24047
187	5559	24012
188	5591	23991
189	5622	23969
190	5654	23950
191	5682	23913
192	5712	23885
193	5740	23848
194	5767	23807
195	5795	23773
196	5824	23739
197	5853	23710
198	5881	23671
199	5908	23635
200	5937	23601
201	5964	23562
202	5992	23526
203	6019	23487
204	6048	23456
205	6076	23419
206	6104	23385
207	6133	23354
208	6162	23324
209	6191	23290
210	6221	23263
211	6249	23230
212	6278	23198
213	6309	23172
214	6337	23140
215	6365	23105
216	6395	23076
217	6423	23040
218	6450	23002
219	6478	22967
220	6507	22939
221	6537	22909
222	6565	22876
223	6601	22870
